,Melodic_Interval_Histogram_0,Melodic_Interval_Histogram_1,Melodic_Interval_Histogram_2,Melodic_Interval_Histogram_3,Melodic_Interval_Histogram_4,Melodic_Interval_Histogram_5,Melodic_Interval_Histogram_6,Melodic_Interval_Histogram_7,Melodic_Interval_Histogram_8,Melodic_Interval_Histogram_9,Melodic_Interval_Histogram_10,Melodic_Interval_Histogram_11,Melodic_Interval_Histogram_12,Melodic_Interval_Histogram_13,Melodic_Interval_Histogram_14,Melodic_Interval_Histogram_15,Melodic_Interval_Histogram_16,Melodic_Interval_Histogram_17,Melodic_Interval_Histogram_18,Melodic_Interval_Histogram_19,Melodic_Interval_Histogram_20,Melodic_Interval_Histogram_21,Melodic_Interval_Histogram_22,Melodic_Interval_Histogram_23,Melodic_Interval_Histogram_24,Melodic_Interval_Histogram_25,Melodic_Interval_Histogram_26,Melodic_Interval_Histogram_27,Melodic_Interval_Histogram_28,Melodic_Interval_Histogram_29,Melodic_Interval_Histogram_30,Melodic_Interval_Histogram_31,Melodic_Interval_Histogram_32,Melodic_Interval_Histogram_33,Melodic_Interval_Histogram_34,Melodic_Interval_Histogram_35,Melodic_Interval_Histogram_36,Melodic_Interval_Histogram_37,Melodic_Interval_Histogram_38,Melodic_Interval_Histogram_39,Melodic_Interval_Histogram_40,Melodic_Interval_Histogram_41,Melodic_Interval_Histogram_42,Melodic_Interval_Histogram_43,Melodic_Interval_Histogram_44,Melodic_Interval_Histogram_45,Melodic_Interval_Histogram_46,Melodic_Interval_Histogram_47,Melodic_Interval_Histogram_48,Melodic_Interval_Histogram_49,Melodic_Interval_Histogram_50,Melodic_Interval_Histogram_51,Melodic_Interval_Histogram_52,Melodic_Interval_Histogram_53,Melodic_Interval_Histogram_54,Melodic_Interval_Histogram_55,Melodic_Interval_Histogram_56,Melodic_Interval_Histogram_57,Melodic_Interval_Histogram_58,Melodic_Interval_Histogram_59,Melodic_Interval_Histogram_60,Melodic_Interval_Histogram_61,Melodic_Interval_Histogram_62,Melodic_Interval_Histogram_63,Melodic_Interval_Histogram_64,Melodic_Interval_Histogram_65,Melodic_Interval_Histogram_66,Melodic_Interval_Histogram_67,Melodic_Interval_Histogram_68,Melodic_Interval_Histogram_69,Melodic_Interval_Histogram_70,Melodic_Interval_Histogram_71,Melodic_Interval_Histogram_72,Melodic_Interval_Histogram_73,Melodic_Interval_Histogram_74,Melodic_Interval_Histogram_75,Melodic_Interval_Histogram_76,Melodic_Interval_Histogram_77,Melodic_Interval_Histogram_78,Melodic_Interval_Histogram_79,Melodic_Interval_Histogram_80,Melodic_Interval_Histogram_81,Melodic_Interval_Histogram_82,Melodic_Interval_Histogram_83,Melodic_Interval_Histogram_84,Melodic_Interval_Histogram_85,Melodic_Interval_Histogram_86,Melodic_Interval_Histogram_87,Melodic_Interval_Histogram_88,Melodic_Interval_Histogram_89,Melodic_Interval_Histogram_90,Melodic_Interval_Histogram_91,Melodic_Interval_Histogram_92,Melodic_Interval_Histogram_93,Melodic_Interval_Histogram_94,Melodic_Interval_Histogram_95,Melodic_Interval_Histogram_96,Melodic_Interval_Histogram_97,Melodic_Interval_Histogram_98,Melodic_Interval_Histogram_99,Melodic_Interval_Histogram_100,Melodic_Interval_Histogram_101,Melodic_Interval_Histogram_102,Melodic_Interval_Histogram_103,Melodic_Interval_Histogram_104,Melodic_Interval_Histogram_105,Melodic_Interval_Histogram_106,Melodic_Interval_Histogram_107,Melodic_Interval_Histogram_108,Melodic_Interval_Histogram_109,Melodic_Interval_Histogram_110,Melodic_Interval_Histogram_111,Melodic_Interval_Histogram_112,Melodic_Interval_Histogram_113,Melodic_Interval_Histogram_114,Melodic_Interval_Histogram_115,Melodic_Interval_Histogram_116,Melodic_Interval_Histogram_117,Melodic_Interval_Histogram_118,Melodic_Interval_Histogram_119,Melodic_Interval_Histogram_120,Melodic_Interval_Histogram_121,Melodic_Interval_Histogram_122,Melodic_Interval_Histogram_123,Melodic_Interval_Histogram_124,Melodic_Interval_Histogram_125,Melodic_Interval_Histogram_126,Melodic_Interval_Histogram_127,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,year,composer,type
Misc Sequencers S-Z excl unks/Twisted Belt.mid,0.01312, 0.1125, 0.2296, 0.2933, 0.06748, 0.07873, 0.05436, 0.04311, 0.03561, 0.04499, 0.001874, 0.005623, 0.003749, 0.0, 0.0, 0.004686, 0.007498, 9.372E-4, 9.372E-4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.838, 3.0, 1.0, 0.2933, 0.7827, 0.4405, 0.01312, 0.1125, 0.3421, 0.3608, 0.07873, 0.05436, 0.04311, 0.0806, 0.007498, 0.003749, 0.01593, 4.347, 0.0, 0.4986, 1.797, 6.98, 4.763,late,others,Y
Misc Sequencers S-Z excl unks/Tiny Toddlers.mid,0.2083, 0.1095, 0.1346, 0.2136, 0.08618, 0.03591, 0.04309, 0.0377, 0.0, 0.01616, 0.001795, 0.0, 0.04129, 0.0, 0.007181, 0.008977, 0.005386, 0.0, 0.007181, 0.007181, 0.01077, 0.01257, 0.001795, 0.0, 0.005386, 0.0, 0.0, 0.003591, 0.001795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.108, 4.0, 3.0, 0.2136, 0.9748, 0.6032, 0.2083, 0.1095, 0.2442, 0.2998, 0.03591, 0.04309, 0.0377, 0.01616, 0.001795, 0.04129, 0.07181, 2.479, 0.0, 0.5306, 2.162, 11.09, 4.58,late,others,Y
Misc Sequencers S-Z excl unks/Piebald's 1st Rag.mid,0.04, 0.1471, 0.2142, 0.1277, 0.07871, 0.1252, 0.02323, 0.08387, 0.03742, 0.03484, 0.01548, 0.01161, 0.01548, 0.0, 0.02323, 0.009032, 0.003871, 0.005161, 0.0, 0.00129, 0.0, 0.00129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.404, 4.0, 1.0, 0.2142, 0.6867, 0.3858, 0.04, 0.1471, 0.3613, 0.2065, 0.1252, 0.02323, 0.08387, 0.07226, 0.0271, 0.01548, 0.04516, 1.623, 0.0, 0.4731, 1.973, 9.003, 6.706,late,others,Y
Misc Sequencers S-Z excl unks/Down A Country Road.mid,0.03959, 0.2503, 0.2312, 0.1124, 0.1034, 0.1047, 0.0281, 0.0281, 0.02937, 0.03959, 0.01022, 0.0, 0.01022, 0.002554, 0.0, 0.005109, 0.005109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.36, 5.0, 1.0, 0.2503, 0.9235, 0.3142, 0.03959, 0.2503, 0.4815, 0.2158, 0.1047, 0.0281, 0.0281, 0.06897, 0.01022, 0.01022, 0.01277, 1.086, 0.0, 0.4907, 1.834, 6.388, 5.138,late,others,N
Misc Sequencers S-Z excl unks/Much To Do.mid,0.02283, 0.3231, 0.3174, 0.1199, 0.06963, 0.05479, 0.02283, 0.02626, 0.009132, 0.02169, 0.0, 0.0, 0.004566, 0.0, 0.0, 0.002283, 0.002283, 0.002283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.654, 3.0, 1.0, 0.3231, 0.9823, 0.2477, 0.02283, 0.3231, 0.6404, 0.1895, 0.05479, 0.02283, 0.02626, 0.03082, 0.0, 0.004566, 0.007991, 1.721, 0.0, 0.5082, 2.098, 5.669, 5.523,late,others,Y
Misc Sequencers S-Z excl unks/Ragtime Cockateil  The.mid,0.07402, 0.183, 0.2933, 0.1466, 0.04469, 0.07123, 0.005587, 0.0405, 0.03911, 0.01397, 0.02235, 0.005587, 0.03771, 0.001397, 0.0, 0.006983, 0.0, 0.0, 0.005587, 0.001397, 0.001397, 0.0, 0.001397, 0.001397, 0.001397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.654, 3.0, 1.0, 0.2933, 0.6238, 0.3785, 0.07402, 0.183, 0.4763, 0.1913, 0.07123, 0.005587, 0.0405, 0.05307, 0.02793, 0.03771, 0.02235, 3.281, 0.0, 0.4585, 1.956, 7.714, 5.541,n/a,others,Y
Misc Sequencers S-Z excl unks/Ticklish Tom.mid,0.04035, 0.1175, 0.4965, 0.1333, 0.1053, 0.01579, 0.0, 0.02632, 0.01404, 0.007018, 0.001754, 0.0, 0.02105, 0.0, 0.0, 0.005263, 0.0, 0.005263, 0.0, 0.003509, 0.0, 0.0, 0.0, 0.0, 0.003509, 0.0, 0.0, 0.0, 0.0, 0.003509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.061, 4.0, 1.0, 0.4965, 0.2686, 0.3333, 0.04035, 0.1175, 0.614, 0.2386, 0.01579, 0.0, 0.02632, 0.02105, 0.001754, 0.02105, 0.02105, 1.267, 0.0, 0.4936, 1.961, 6.194, 4.472,late,others,Y
Misc Sequencers S-Z excl unks/Pinocle.mid,0.09076, 0.2987, 0.2805, 0.1188, 0.05611, 0.0462, 0.0198, 0.0264, 0.02475, 0.009901, 0.01485, 0.00165, 0.00495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006601, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.614, 4.0, 1.0, 0.2987, 0.9392, 0.3135, 0.09076, 0.2987, 0.5792, 0.1749, 0.0462, 0.0198, 0.0264, 0.03465, 0.0165, 0.00495, 0.006601, 2.118, 0.0, 0.4973, 2.505, 7.177, 5.718,late,others,Y
Misc Sequencers S-Z excl unks/Jumping Bean  The.mid,0.1352, 0.07296, 0.2167, 0.1502, 0.06438, 0.04721, 0.0515, 0.08369, 0.01288, 0.05365, 0.008584, 0.0, 0.01288, 0.0, 0.008584, 0.01073, 0.0, 0.0, 0.008584, 0.008584, 0.0, 0.02575, 0.0, 0.0, 0.01931, 0.0, 0.0, 0.0, 0.008584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 5.015, 3.0, 1.0, 0.2167, 0.6931, 0.4657, 0.1352, 0.07296, 0.2897, 0.2146, 0.04721, 0.0515, 0.08369, 0.06652, 0.008584, 0.01288, 0.09013, 2.333, 0.0, 0.4814, 1.58, 9.145, 4.997,late,others,Y
Misc Sequencers S-Z excl unks/Mongolian Kangaroo.mid,0.103, 0.1063, 0.1512, 0.1196, 0.1246, 0.108, 0.04319, 0.08638, 0.05648, 0.06645, 0.009967, 0.0, 0.01163, 0.001661, 0.003322, 0.004983, 0.0, 0.0, 0.0, 0.003322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.164, 6.0, 2.0, 0.1512, 0.8242, 0.4601, 0.103, 0.1063, 0.2575, 0.2442, 0.108, 0.04319, 0.08638, 0.1229, 0.009967, 0.01163, 0.01329, 0.96, 0.0, 0.5019, 1.421, 6.566, 4.339,late,others,Y
Misc Sequencers S-Z excl unks/Hooray Rag.mid,0.02418, 0.3229, 0.3664, 0.1161, 0.0399, 0.04353, 0.009674, 0.003628, 0.002418, 0.03265, 0.006046, 0.002418, 0.02297, 0.0, 0.004837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002418, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.676, 3.0, 1.0, 0.3664, 0.8812, 0.2152, 0.02418, 0.3229, 0.6892, 0.156, 0.04353, 0.009674, 0.003628, 0.03507, 0.008464, 0.02297, 0.007255, 2.909, 0.0, 0.5155, 2.113, 5.762, 5.534,late,others,Y
Misc Sequencers S-Z excl unks/Opaque Rag.mid,0.02622, 0.2409, 0.1998, 0.1136, 0.09738, 0.1248, 0.0412, 0.07241, 0.03496, 0.03995, 0.002497, 0.0, 0.001248, 0.0, 0.0, 0.0, 0.004994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.508, 5.0, 1.0, 0.2409, 0.829, 0.3184, 0.02622, 0.2409, 0.4407, 0.211, 0.1248, 0.0412, 0.07241, 0.07491, 0.002497, 0.001248, 0.004994, 1.167, 0.0, 0.4679, 1.871, 6.71, 6.36,late,others,Y
Misc Sequencers S-Z excl unks/Patches.mid,0.0527, 0.2266, 0.2846, 0.1502, 0.08827, 0.07642, 0.01186, 0.03294, 0.007905, 0.01054, 0.00527, 0.002635, 0.0303, 0.0, 0.0, 0.0, 0.01186, 0.0, 0.0, 0.007905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.227, 3.0, 1.0, 0.2846, 0.7963, 0.3742, 0.0527, 0.2266, 0.5112, 0.2385, 0.07642, 0.01186, 0.03294, 0.01845, 0.007905, 0.0303, 0.01976, 1.701, 0.0, 0.4826, 2.02, 6.846, 5.299,late,others,Y
Misc Sequencers S-Z excl unks/Old Hat Rag.mid,0.03571, 0.2167, 0.3116, 0.1355, 0.1059, 0.09852, 0.004926, 0.03448, 0.007389, 0.03202, 0.0, 0.0, 0.007389, 0.0, 0.0, 0.004926, 0.004926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.022, 5.0, 1.0, 0.3116, 0.6957, 0.3288, 0.03571, 0.2167, 0.5283, 0.2414, 0.09852, 0.004926, 0.03448, 0.03941, 0.0, 0.007389, 0.009852, 1.279, 0.0, 0.5223, 1.825, 5.692, 4.967,late,others,Y
